district,fiscal_year,auditor,report_date,opinion_type,certified_enrollment,gf_revenue,gf_expenditure,gf_total_fund_balance,gf_unassigned,gf_assigned,aea_flowthrough,solvency_ratio_pct,operating_margin_pct,salaries_benefits,salary_benefit_pct_gf,cash_and_investments,go_debt_outstanding,save_rev_bonds,lease_sbita,capital_additions,depreciation,construction_in_progress,save_revenue,unrestricted_net_position,ipers_npl,opeb_liability,findings_count,material_weakness,significant_deficiency,repeat_finding,single_audit_findings,gfoa_cert,confidence,notes,debt_per_pupil,gf_rev_per_pupil
Dubuque CSD,2023,Jim Kircher & Associates PC,2023-12-11,unmodified,10063.1,139402754,142565488,27589009,25481734,0,5500076,19.03,-2.27,119755010,84.0,92236446,0,76942000,423278,18065136,7753331,27649483,13886399,-24581437,39628558,10671972,0,N,N,Y,no findings under UG - low-risk auditee,N,High,"SAVE rev bonds = all revenue bonds ($76.9M); GASB 96 SBITA adopted - subscription liability $423,278 end of year; no GASB 87 leases; no GO bonds; sal+ben computed from MD&A 84.0% pct; cash+invest = govtl activities ($92.2M); capital additions = depreciable $4,696,653 + CIP increases $13,368,483; IV-H enrollment variance recurring; NPL surged to $39.6M due to IPERS plan changes",7646,13853
Dubuque CSD,2024,BAC CPA LLC,2024-12-09,unmodified,9996.0,136995614,141615196,23355130,21314572,0,5524824,16.21,-3.37,120372917,85.0,90412348,0,71890000,211639,17819028,8155198,34863052,13258060,-23353158,44746823,10226418,0,N,N,Y,no findings under UG - low-risk auditee,N,High,"New auditor BAC CPA LLC starting FY2024; SAVE rev bonds = all revenue bonds ($71.9M); SBITA = subscription liability $211,639 end of year; no GO bonds; sal+ben computed from MD&A 85.0% pct; cash+invest = govtl activities ($90.4M); capital additions to depreciable $8,227,015 + CIP net $9,592,013 (rounded); IV-H enrollment variance recurring; unrestricted NP = -23,353,158 per FY2024 ACFR (restated to -26,578,948 in FY2025 report for compensated absences GASB change)",7192,13705
Dubuque CSD,2025,BAC CPA LLC,2026-01-12,unmodified,9862.9,142364764,143254460,22795025,21167328,0,4616416,15.37,-0.62,122196054,85.3,106764627,0,80946000,678830,45477286,9140870,2823002,13221626,-21682499,34401444,10204362,0,N,N,Y,no findings under UG - low-risk auditee,N,High,"SAVE rev bonds = all revenue bonds ($80.9M incl new $15M issuance); SBITA = subscription liability $678,830 end of year (new subscription added); no GO bonds; sal+ben computed from MD&A 85.3% pct; cash+invest = govtl activities ($106.8M); capital additions = depreciable increases $42,776,994 + CIP increases $2,700,292 (major prior-year CIP placed in service); 2025-A = certified budget exceeded in instruction (statutory; similar to 2022-A); IV-H enrollment variance 17.00 - largest on record; enrollment declined to 9863 from 10489 in 2020 (-6.0%)",8207,14434
Iowa City CSD,2020,RSM US LLP,2021-01-15,unmodified,14572,169739238,173099142,11240140,6876239,0,6529748,4.21,-1.98,,,129537101,176905000,82495000,381196,77886985,11617145,115238055,14800144,-65844793,86029745,10639021,2,N,N,N,None,Y,High,"Capital lease $381,196 pre-GASB 87; SAVE bonds two tranches: $42,115,000 + $40,380,000; IPERS NPL total (govt $84,309,150 + business $1,720,595); Assigned GF = $0; enrollment is official Oct 2019 count per operating stats; salaries-benefits not broken out at object level in GF; 2 statutory findings (IV-D: 1099 filing; IV-H: enrollment variance of -14.09); no GAGAS or single-audit findings; solvency uses gf_revenue minus AEA flowthrough denominator",17801,11648
Iowa City CSD,2021,RSM US LLP,2022-01-19,unmodified,14284,190498914,184984176,15890150,11653470,0,6829103,6.35,2.89,,,77918215,170605000,74430000,0,51075562,12485451,80540792,14539517,-51831446,102459357,11232609,2,N,N,N,None,Y,High,"Auditors issued Emphasis of Matter for restatement: beginning govt net position restated by $35,176,984 for CIP overstatement (finding 2021-001) and for GASB 84 adoption; opinion not modified; GF ending balance in MD&A $15,734,218 differs from balance sheet $15,890,150 due to GASB 84 restatement; Assigned GF = $0; IPERS NPL total (govt $100,410,162 + business $2,049,195); SAVE bonds two tranches: $38,215,000 + $36,215,000; no GASB 87 lease yet (adopted FY2022); 1 GAGAS finding (2021-001 CIP controls) + 1 statutory enrollment variance",17155,13337
Iowa City CSD,2022,RSM US LLP,2022-12-20,unmodified,14395,196760462,202187558,10063054,5356550,0,6897343,2.82,-2.76,,,73022633,164020000,66205000,250317,16893963,13580010,20994643,17240332,-41636368,2054352,12187000,3,N,Y,N,Title I student withdrawal record (2022-002; no questioned costs),Y,High,"GASB 87 adopted FY2022: lease liability $250,317 for copiers; IPERS NPL dramatically reduced to $2,054,352 due to GASB measurement-date catch-up (plan performance); SAVE bonds two tranches: $34,115,000 + $32,090,000; 1 significant deficiency (2022-001 expenditure cutoff in PPEL/Capital Projects ~$268k); 1 federal compliance finding (2022-002 Title I withdrawal record); 1 statutory enrollment variance (-5.84 students); capital outlay unusually low as major GO Bond construction phase winding down; salaries-benefits not object-detail separated in GF",15993,13669
Iowa City CSD,2023,RSM US LLP,2025-08-27,unmodified,14440,209488033,207876297,10151221,4960343,0,7118887,2.45,0.77,,,149426571,156815000,164695000,229851,41014460,14896031,30731363,19687857,-35853645,61350782,13009704,7,Y,Y,Y,Education Stabilization Fund cut-off errors $58k (2023-003 significant deficiency + noncompliance); lack of review on ESF reports (2023-004 material weakness); late single audit filing - package due 2024-03-31 submitted Aug 2025 (2023-005 significant deficiency + noncompliance),N,Medium,"REPORT DATE 26+ MONTHS LATE - audit for FY ended 2023-06-30 not issued until 2025-08-27 due to personnel turnover; material weakness 2023-001: financials required significant revisions; year-end close not completed until Dec 2024; significant audit adjustments to original trial balance; supporting reconciliations did not agree to FS amounts; significant deficiency 2023-002: bank reconciliations contained unreconciled items approximately $1.06M and $1M on two accounts; $55k payroll entry required reversal; significant deficiency 2023-006: CFO had incompatible duties (vendor setup + invoice processing + journal entries + cash disbursements); corrective action plan notes prior accounting leadership failed to properly reconcile balance sheet with unknown variances and errors compounding misstatements; finding 2023-001 is repeat of 2022-001 (Not Corrected); lease $205,142 + SBITA $24,709 = $229,851 total; SAVE bonds note: $164,695,000 in notes from direct borrowings (new bond issuance FY2023); IPERS NPL total (govt $60,123,766 + business $1,227,016); FY2024 and FY2025 audits NOT filed as of knowledge cutoff; Moody's bond rating reportedly lost; enrollment is Oct 2022 certified count per transmittal; findings count = 6 GAGAS/federal numbered findings + 1 statutory enrollment variance; no GFOA cert - transmittal does not mention submitting for GFOA",22265,14507
Iowa City CSD,2024,RSM US LLP,2026-06-10,unmodified,14379,208955795,199886456,19053053,16281856,0,7299380,8.07,4.34,,,84738825,149370000,155890000,750206,77377871,15758569,85824508,19022440,-26380390,70298085,16819043,17,Y,Y,Y,Qualified opinion on Education Stabilization Fund (84.425B/C/U/W) and Special Education Cluster (84.027); ICFR-over-compliance material weaknesses 2024-009 to 2024-011 + significant deficiency 2024-012; allowable-costs finding 2024-013 + Special Education scope limitation 2024-014,N,High,"FY2024 audit FILED June 10, 2026 (RSM US LLP, East Moline IL) - ~23 months after FYE 6/30/2024, but no longer the 26-month delay seen on FY2023. UNMODIFIED opinion with Emphasis-of-Matter: govt-activities beginning net position restated -$6,150,861 to correct prior-period errors (Note 15). HEAVY FINDINGS: 5 financial-statement material weaknesses (2024-001 to 005) + 3 material noncompliance findings (2024-006 to 008); federal single audit drew QUALIFIED opinions on the Education Stabilization Fund and Special Education Cluster, with compliance material weaknesses/significant deficiency (2024-009 to 014); District is NOT a low-risk auditee. GF unassigned rebuilt to $16,281,856 (solvency 8.07%) and GF cash to $22,536,992 after the FY2022-23 trough. IPERS NPL total (govt $68,976,481 + business $1,321,604). SAVE/sales-tax revenue bonds $155,890,000; GO bonds $149,370,000 principal (premium excl); lease $154,209 + IT subscription $595,997 = $750,206; capital loan notes $945,000 (immaterial, excluded from debt/pupil for consistency with prior years). capital_additions = capital outlay $77,377,871; depreciation/amortization $15,758,569. cash_and_investments is governmental-activities cash $84,738,825 (down from FY2023 as bond proceeds were spent on construction); GF portion is $22,536,992. salaries-benefits not object-split in GF audit (CAR provides it separately). Enrollment is Oct 2023 certified count 14,378.7. findings_count = 14 numbered (2024-001..014) + 3 statutory (IV-H certified enrollment, IV-I supplementary weighting, IV-J depository resolution).",21236,14532
Johnston CSD,2020,Van Maanen Sietstra Meyer & Nikkel PC,BLANK-in-PDF,unmodified,7105.7,82568683,84937989,12146145,10518726,0,3177946,13.25,-2.87,,,59454734,48510000,48124000,1270413,13785054,6064501,1220708,7313864,-15636587,37921343,4496472,2,N,N,N,No single audit findings,Y,High,Report date shows ==== in PDF (a pre-publication placeholder). AEA separately stated. GF Assigned=$0 (no Assigned category; only Nonspendable $85572 + Restricted $1541847 + Unassigned). Solvency = Unassigned / (GF Rev minus AEA). Lease = pre-GASB87 capital lease. IPERS NPL = combined govt $35440808 + BTA $2480535. OPEB = combined net OPEB govt $4242027 + BTA $254445. Capital additions = CIP adds $4063161 + depreciable adds $9721893. Findings count = 2 Part IV statutory items only (IV-H enrollment variance + IV-I supp weighting); Parts II & III clean.,13600,11620
Johnston CSD,2021,Van Maanen Sietstra Meyer & Nikkel PC,2021-11-15,unmodified,7004.2,90297900,85982677,15971161,13781660,0,3300087,15.84,4.78,,,69966841,43465000,44385000,860411,3359508,6058163,0,7092979,-13761035,45039752,5006438,2,N,N,Y,No single audit findings,Y,High,GF Assigned=$0 (no Assigned category). Solvency = Unassigned / (GF Rev minus AEA). Lease is pre-GASB87 capital lease. IPERS NPL = govt $42252580 + BTA $2787172. OPEB = govt $4719207 + BTA $287231. Capital adds = CIP $904585 + depreciable $2454923; CIP balance = 0 at year-end (all completed). Findings = 2 Part IV (IV-H enrollment + IV-I supp weighting); repeat from FY2020.,12542,12892
Johnston CSD,2022,Van Maanen Sietstra Meyer & Nikkel PC,2023-01-09,unmodified,6986.9,93296992,88285047,21380621,18556483,0,3357295,20.63,5.37,,,63159720,14520000,40485000,446631,1326357,6061941,0,8448742,1064987,878140,3656416,1,N,N,N,No single audit findings,Y,High,IPERS NPL dropped 98% (govt $836033 + BTA $42107 = $878140) due to actuarial assumption changes. OPEB = govt net $3458540 + BTA $197876; OPEB total liability per note = $3656416. No enrollment/supp weighting variances in FY2022. Finding = 1 (Part IV budget exceeded; 2022-A). Lease = GASB 87 right-of-use. Capital adds = depreciable only (no CIP at year-end).,7873,13353
Johnston CSD,2023,Van Maanen Sietstra Meyer & Nikkel PC,2024-03-18,unmodified,6984.8,91883625,92841732,20773674,15556695,0,3422783,17.59,-1.04,,,66483518,0,32760000,0,1711326,6225602,0,9567874,6475282,24495955,4077743,3,N,N,Y,No single audit findings,Y,High,GO bonds fully retired in FY2023. GF has Committed $2150000 (Board resolution) but no Assigned category label. IPERS NPL rebounded: govt $23307018 + BTA $1188937. OPEB = govt $3855169 + BTA $222574; OPEB total per note = $4077743. Findings = 3 Part IV items (2023-A budget exceeded + 2023-H enrollment variance + 2023-I supp weighting); enrollment & supp weighting repeat from FY2020/21. No CIP at year-end.,4690,13155
Johnston CSD,2024,CPA firm not named in PDF (signed Moline IL; change from Van Maanen),2024-12-13,unmodified,,92402220,96950364,16567398,11860294,0,3508434,13.34,-4.92,,,68490271,0,29295000,2086189,8224373,6463294,2516017,9201508,5624257,27711486,4962531,3,N,Y,N,No single audit findings,N,Medium,Auditor firm name not captured in PDF text extraction; signed Moline IL (different firm from prior years). Certified enrollment not stated. 3 significant deficiency findings (2024-001 receipt segregation; 2024-002 disbursement segregation; 2024-003 payroll segregation). GF Committed=$2055000 (not labeled Assigned). Lease_SBITA = GASB87 lease $86414 + GASB96 subscription $98663 + equipment financing $1901112 = $2086189. IPERS NPL = govt $26317598 + BTA $1393888. OPEB total = govt $4662794 + BTA $299737. Capital additions = CIP $2516017 + depreciable $5708356.,,
Johnston CSD,2025,CPA firm not named in PDF (signed East Moline IL; same firm as FY2024),2026-03-13,unmodified,,98396516,103691498,11834736,7327867,0,2712126,7.66,-5.38,,,66339912,0,25580000,1575669,10028226,6822076,3973992,9045095,-555016,22534212,4976349,3,N,Y,Y,No single audit findings,N,Medium,Auditor firm not named in text. Certified enrollment not stated. 3 SDs (2025-001 receipts; 2025-002 disbursements; 2025-003 payroll) — same subject matters as FY2024 but auditor designates each as not a repeat finding; treated as repeat here by substance. GF Committed=$1875000 (not Assigned). Lease_SBITA = GASB87 $48445 + GASB96 $249480 + equip financing $1277744 = $1575669. Unrestricted net position = combined govt+BTA = -$555016 (govt activities alone = -$6876884). IPERS NPL = govt $21400741 + BTA $1133471. AEA flowthrough dropped sharply from $3.5M to $2.7M.,,
Linn-Mar CSD,2020,Bohnsack & Frommelt LLP,2020-11-20,unmodified,7676,88946908,87749848,11059342,9481809,435330,3469718,11.60,1.35,,,53865779,72865000,54295000,,59390761,5778832,59304525,7827053,(32389777),44450304,3137166,4,N,Y,Y,No federal findings; unmodified opinion on major programs,N,High,Certified enrollment Oct 1 2019 per intro letter; cash_and_investments = total govt funds unrestricted + restricted pooled cash; SAVE bonds = statewide SSTU bonds (29815000 regular + 24480000 direct placement = 54295000); capital additions = governmental activities total increases; salary/benefit object detail not available in GF function-only statements; FY2020 finding 2020-001 is repeat of 2019-002,16566,11588
Linn-Mar CSD,2021,Bohnsack & Frommelt LLP,2021-11-18,unmodified,7598,96735391,93635341,13955156,12795923,424306,3631522,14.20,3.20,,,39304127,70015000,49925000,,70345474,6972691,2945189,7659411,(31586729),52490498,3498833,3,N,Y,Y,No federal findings; unmodified opinion on major programs,N,High,Certified enrollment Oct 1 2020 per intro letter; cash = unrestricted 33409428 + restricted 5894699; SAVE bonds = 26870000 regular + 23055000 direct placements = 49925000; capital additions = 1982532 (not depr) + 68362942 (being depr) = 70345474; FY2021 finding 2021-001 is repeat of 2020-001; IV-D-21 is conflict of interest finding,15786,12732
Linn-Mar CSD,2022,Bohnsack & Frommelt LLP,2022-12-20,unmodified,7579,99507635,101160128,12313088,11416553,464960,3676429,12.40,(1.66),,,31182906,66965000,39280000,508308,9098706,7562609,1429798,9160188,(23926481),1070927,4220660,4,N,Y,Y,No federal findings; unmodified opinion on major programs,N,High,Certified enrollment Oct 1 2021 per intro letter; GASB 87 adopted; lease liability 508308; SAVE bonds = 39280000 (all regular bonds after refunding); capital additions = 3585907 (not depr) + 5512799 (being depr); IPERS NPL dropped dramatically from $52.5M to $1.07M due to IPERS favorable returns; finding 2022-001 is repeat of 2021-001; IV-A-22 had 2 budget sub-findings counted as 1 finding number,14018,13129
Linn-Mar CSD,2023,Bohnsack & Frommelt LLP,2023-12-04,unmodified,7685,99802728,105031915,7069549,5866836,535797,3756855,6.67,(5.24),,,45069774,63805000,50725000,390401,8094369,7914263,2980349,10379010,(23048442),30810141,4568941,3,N,N,Y,No federal findings; unmodified opinion on major programs; low-risk auditee,N,High,Certified enrollment approx Oct 1 2022; FY2022 future section noted ~106 student increase over 7579 = ~7685 (approximate); GASB 96 adopted; SBITA obligation 6531; lease obligation 383870; total lease+SBITA = 390401; capital additions = 2935306 + 5159063; OPEB reported as Net OPEB liability,14903,12987
Linn-Mar CSD,2024,Bohnsack & Frommelt LLP,2024-12-12,unmodified,7566,104707585,104735503,7091954,5780977,605774,3893683,6.34,(0.03),,,55486542,60695000,61280000,928497,15713938,8139857,15172661,10124583,(21012888),35267344,5044000,2,N,N,Y,No federal findings; unmodified opinion on major programs; low-risk auditee,N,High,Certified enrollment Oct 1 2023 = 7566 per FY2023 intro letter; lease obligation 925193 + SBITA 3304 = 928497; SAVE bonds = 61280000; capital additions = 12817492 (not depr) + 2896446 (being depr); OPEB now reported as Total OPEB liability = 5044000 combined,16121,13839
Linn-Mar CSD,2025,Bohnsack & Frommelt LLP,2025-11-11,unmodified,7494,106656101,103555715,10195578,9278920,574165,3079830,9.51,2.91,,,50628484,57425000,66175000,752938,27761299,7945729,36262688,10008279,(29738653),27014121,4770897,3,N,Y,Y,No separate Uniform Guidance single audit section in FY2025 report; only GAS-based compliance audit performed,N,High,Certified enrollment Oct 1 2024 = 7494 per FY2024 intro letter; 2025-001 is new significant deficiency (Nutrition Fund reconciliation - not a repeat); II-H-25 and II-I-25 are repeats of IV-H-24 and IV-I-24 (certified enrollment and supplementary weighting); SBITA obligation = 0 (fully paid); lease obligation 752938; SAVE bonds increased to 66175000 due to new $10M issuance; OPEB = Total OPEB liability combined,16493,14232
Muscatine CSD,2020,Bohnsack & Frommelt LLP,2021-01-15,unmodified,4811.8,54928725,56564823,11135845,10644009,60534,2234604,20.32,-2.98,,,23241912,0,0,458952,14565243,3923391,9723578,5072669,-28250419,25881408,12128078,4,N,N,Y,no single audit findings (no Part III findings),N,High,Enrolled count = Oct 2019 count (used for FY2020 state aid). Firm signed from Moline IL confirmed as Bohnsack & Frommelt LLP per later years. AEA flowthrough separately stated. SAVE revenue is per CAR schedule. Cash = GF pooled only ($16.6M); total govtl pooled $23.2M. Capital lease $458952 (pre-GASB 87 purchase agreement). 4 statutory findings in Part IV (budget exceedance; quotes not obtained; certified enrollment variances; supplementary weighting variances). IV-A and IV-G/H are repeats from FY2019. Salary/benefit object detail not in text extraction.,0,11415
Muscatine CSD,2021,Bohnsack & Frommelt LLP,2022-01-28,unmodified,4690.0,56363815,56650584,10892432,10294149,76093,2245266,19.16,-0.51,,,25860927,0,0,458952,2342854,4197479,998293,4806557,-29435352,30192648,13638565,1,N,N,Y,no single audit findings (no Part III findings),N,High,Enrolled count = Oct 2020 count. SAVE revenue per CAR schedule. Cash = total govtl pooled $25.9M. Capital lease $458952 (same pre-GASB 87 purchase agreement ending balance). 1 statutory finding in Part IV (certified enrollment variances); IV-G prior year enrollment not corrected = repeat finding. Salary/benefit object detail not in text extraction.,0,12018
Muscatine CSD,2022,Bohnsack & Frommelt LLP,2023-01-10,unmodified,4603.05,59183176,57712786,11939087,10773667,143324,2247029,19.17,2.48,,,30943941,0,0,210367,4397378,4473953,1189238,5665028,-23436284,536222,11600302,1,N,N,Y,no single audit findings (ESSER II and ARP-ESSER audited; no Part III findings),N,High,First ACFR format year. Enrolled count = Oct 2021. SAVE revenue per CAR schedule. Cash = total govtl pooled $30.9M. GASB 87 lease obligation $210367 (new lease under updated standard). IPERS NPL dropped dramatically to $536222 due to strong investment returns (prior year $30.2M). 1 statutory finding (certified enrollment variances); repeat from FY2021. Salary/benefit object detail not in text extraction. ASBO cert submitted first time.,0,12857
Muscatine CSD,2023,Bohnsack & Frommelt LLP,2023-12-06,unmodified,4574.8,63094613,60869319,11406083,10212841,159311,2234639,17.04,3.53,,,55620298,0,25000000,135989,10541334,4592065,10355329,6317866,-20100578,15667226,12384752,1,N,N,Y,no single audit findings (no Part III findings),N,High,Enrolled count = Oct 2022. SAVE revenue per CAR. Cash = total govtl pooled $55.6M (high due to $25M bond proceeds held). $25M school infrastructure SAVE revenue bonds issued Oct/Dec 2022 outstanding at June 30 2023. Lease $98457 + SBITA $37532 = $135989. IPERS NPL rebounded to $15.7M. 1 statutory finding (certified enrollment variances); repeat. Salary/benefit object detail not in text extraction.,5465,13792
Muscatine CSD,2024,Bohnsack & Frommelt LLP,2024-11-08,unmodified,4422.8,61826636,60904420,11189523,9974471,159443,2225191,17.00,1.49,,,40894955,0,21808000,323038,25509538,4988989,6900809,6026666,-17300771,18169826,11463162,3,N,N,Y,no single audit findings (no Part III findings),Y,High,Enrolled count = Oct 2023. SAVE revenue per CAR. Cash = total govtl pooled $40.9M. Revenue bonds = Series 2022 $13095000 + Series 2022B $8713000 = $21808000. Lease $306766 + SBITA $16272 = $323038. 3 statutory findings (budget exceedance support services; certified enrollment; supplementary weighting). Budget exceedance is repeat of FY2020 pattern. GFOA Certificate awarded for FY2023 reported in this ACFR (first year). Salary/benefit object detail not in text extraction.,4931,13979
Muscatine CSD,2025,Bohnsack & Frommelt LLP,2025-10-17,unmodified,4315.9,60083203,61421653,10082508,8715227,145363,1871557,15.22,-2.23,,,30518195,0,22546000,162304,14245741,5926013,7010095,5850001,-22689350,14183719,12259474,2,N,N,Y,no single audit findings (no Part II federal findings; structure changed - Part IV renamed Part II),Y,High,Enrolled count = Oct 2024. SAVE revenue per CAR. Cash = total govtl pooled $30.5M. Revenue bonds = Series 2022 $11116000 + Series 2022B $7382000 + Series 2024 $4048000 = $22546000. Series 2024 $4048000 issued in FY2025. Lease $162304 + SBITA $0 (paid off) = $162304. 2 statutory findings (certified enrollment; supplementary weighting). GASB 101 implemented (emphasis of matter paragraph in opinion). Salary/benefit object detail not in text extraction.,5224,13921
Pleasant Valley CSD,2020,Bohnsack & Frommelt LLP,2020-11-04,unmodified,5128.4,54168959,53008239,8224174,4309175,3133352,2259331,14.34,2.14,,,45278048,15905000,33360000,175750,41542206,3496802,11117848,5215928,-13090297,23009691,4471219,1,N,N,N,Unmodified compliance opinion; no federal findings; single audit was performed (Child Nutrition cluster). One Iowa statutory finding IV-G-20: certified enrollment variance.,Y,High,"Auditor firm named Bohnsack & Frommelt LLP in transmittal letter; signed Moline IL. Capital lease $175,750 is pre-GASB-87 capital lease. Capital additions = gross increases to govl capital assets: CIP $9813513 + depreciable $31728693. GO bonds = Series 2018 net of premium = $15905000 (with premium $16258441 as reported in MD&A). SAVE rev bonds = sum of 4 series. Cash = SNP total (govl + BTA). Salaries+benefits not separately shown in GF object schedule in text extraction; left blank. OPEB = govl activities only.",9606,10563
Pleasant Valley CSD,2021,Bohnsack & Frommelt LLP,2021-11-18,unmodified,5244.2,58976783,55962993,11337516,6920517,3162842,2375720,17.81,5.11,,,39272107,14115000,29970000,89402,11120952,3543076,18425817,5117291,-12120596,27620132,5090484,0,N,N,N,Unmodified compliance; no findings (Parts II and III clean; IV items all clear). Single audit performed (COVID ESSER programs) - no findings.,Y,High,Firm confirmed by Moline IL signature consistent with all years; named explicitly in 2020 and 2023 transmittals. Capital lease $89402 is pre-GASB-87. Capital additions = CIP increases $8937974 + depreciable increases $2182978 = $11120952 gross. Rev bonds = 1745+6410+8600+13215 = 29970000. Solvency 17.81% matches district-reported 17.8%.,8406,11246
Pleasant Valley CSD,2022,Bohnsack & Frommelt LLP,2022-11-28,unmodified,5423.6,62108088,61741879,11942859,7157559,3161450,2486311,17.31,0.59,,,43215611,12275000,26515000,213703,19768000,4133862,391655,6298315,-7438766,523341,4532126,1,N,N,N,Unmodified compliance; no federal findings. One Iowa statutory finding IV-H-22: certified enrollment variance (repeat from FY2020).,Y,High,GASB 87 adopted in FY2022 (restated FY2021 net position by $52009). Lease obligation = $213703 (GASB 87). GO bonds = Series 2018 principal $12275000. Rev bonds = Series 2016+2017+2018 = 5465+8250+12800 = 26515000. Capital additions = CIP increases $407473 + depreciable $19360504 but CIP largely transferred to buildings during year = gross additions to depreciable $19360504 + new CIP $407473 = $19767977 ~ $19768000. Cash = SNP total govl+BTA. NPL dropped dramatically due to IPERS remeasurement. OPEB = govl activities only.,7152,11451
Pleasant Valley CSD,2023,Bohnsack & Frommelt LLP,2023-12-13,unmodified,5556.8,64926259,64759789,12144860,7370920,3277498,2644450,17.10,0.26,,,46968036,10380000,22990000,165355,7392899,4280203,4661901,7394675,-4275821,16411184,4983394,2,N,N,Y,Unmodified compliance; no federal findings (Child Nutrition cluster). Two Iowa statutory findings: IV-H-23 certified enrollment (repeat) and IV-J-23 depository resolution exceeded.,Y,High,Lease obligation $139407 + IT subscription $25948 = $165355 combined GASB87/96. Rev bonds = 4730+7150+11110 = 22990000. GO bonds = 10380000 (Series 2018). Capital additions = CIP increases $5286273 + depreciable increases $2106626 = $7392899. SAVE revenue from IV-M-23 disclosure = $7394675. NPL = govl activities $16411184 per long-term liabilities note; IPERS remeasured downward in FY2022 and rebounded. OPEB = govl activities. Enrollment 5556.8 confirmed in MD&A.,6005,11684
Pleasant Valley CSD,2024,Bohnsack & Frommelt LLP,2024-11-19,unmodified,5538.0,69450118,66728017,14965075,10195186,3349442,2773723,20.31,3.92,,,65710028,8425000,46560000,337074,19760118,4466364,18317847,7320316,-5363633,19373138,5385957,2,N,N,Y,Unmodified compliance; no federal findings (Child Nutrition cluster). Two Iowa statutory findings: IV-H-24 certified enrollment (repeat) and IV-I-24 supplementary weighting variance.,Y,High,$27180000 Series 2024 revenue bonds issued during year. Rev bonds = 3980+6025+9375+27180 = 46560000. GO bonds = 8425000 (Series 2018). Lease obligation $270577 + IT subscription $66497 = $337074. Capital additions = CIP increases $15847009 + depreciable increases $2974972 + land $938137 = $19760118. Cash = SNP total govl+BTA. SAVE = $7320316 per IV-M-24. OPEB = govl activities. Enrollment 5538 from statistical section. Solvency 20.31% matches district-reported 20.3%.,9929,12541
Pleasant Valley CSD,2025,Bohnsack & Frommelt LLP,2025-10-03,unmodified,5498.0,71687829,69922416,16738808,11954774,3648794,2197984,22.45,2.46,,,52105974,6410000,42765000,244176,20392743,4526743,36478777,7324934,-4467274,15755805,5629612,1,N,N,Y,No federal single audit (format changed; no Part III - Single Audit section). One Iowa statutory finding II-H-25: certified enrollment variance (repeat). GASB 101 adopted changing net OPEB liability to total OPEB liability.,Y,High,Equipment note $315936 + Lease obligation $200266 + IT subscription $43910 = $560112 but equipment note is likely not GASB87/96 (it is a traditional note payable for equipment). GASB 87 lease = $200266 and GASB 96 SBITA = $43910 = $244176 combined. Rev bonds = 3215+4875+7595+27080 = 42765000. GO bonds = 6410000 (Series 2018). Capital additions = CIP increases $18340952 + depreciable $2051791 = $20392743. Cash = SNP total govl+BTA. SAVE = $7324934 per II-M-25. IPERS = pension liability $15755805 (govl); OPEB = total OPEB liability $5629612 (govl; GASB 101). Enrollment 5498 from statistical section. No single audit section in this year report (moved to different format).,8944,13039
Waterloo CSD,2020,BerganKDV Ltd.,2020-11-03,unmodified,10865,136719805,138916971,18524155,15181795,1230992,5471894,12.51,-1.61,,,72213761,0,71043539,,19070836,5950605,2556710,11170519,-48670312,58890542,11260589,,,,,,Y,Medium,"Findings/single-audit not in this file (separately issued compliance report - 2020 text only references it); no GF GO bonds - all debt is SAVE revenue bonds; capital_additions = gross increases: depreciable $15,984,775 + CIP $3,075,561 + land $10,500 = $19,070,836; salaries_benefits not available by object in GF statement; go_debt_outstanding=0 (SAVE rev bonds only)",6539,12584
Waterloo CSD,2021,BerganKDV Ltd.,2021-11-09,unmodified,10633,152577513,142306382,29206917,26948864,1230992,5648589,19.18,6.73,,,95321722,0,88498539,,17855203,6115294,18004955,10845298,-40459101,70497997,12225233,2,Y,N,N,no federal award findings; enrollment count error (over by 2 students),Y,High,"Single audit included in file; material weakness = capital asset adjustment; Section IV enrollment finding counted; prior year finding (from 2020 compliance report) not visible; capital_additions = depreciable asset increases ($1,318,642) + CIP net increase ($15,448,245); SAVE rev bonds restated upward by $22.6M new issuance",8323,14349
Waterloo CSD,2022,BerganKDV Ltd.,2022-11-07,unmodified,10681,158718768,152655437,35307511,31809926,1230992,5654682,21.59,3.82,,,88817068,0,82412539,,42131038,6031277,13827215,13830461,-22387457,1404010,11851309,1,N,N,Y,no federal award findings; enrollment count error (over by 3 students); prior year MW resolved,Y,High,"Single audit included in file; prior year MW (2021-001) resolved per Section V; Section II None; Section III None; Section IV enrollment finding = 1; repeat_finding=Y because enrollment error recurs from 2021; IPERS NPL dropped sharply due to actuarial assumption changes; capital_additions = gross increases depreciable $23,385,902 + CIP $18,745,136 = $42,131,038; total OPEB = governmental activities only ($11,851,309)",7716,14860
