district,fiscal_year,total_assets,total_deferred_outflows,total_liabilities,total_deferred_inflows,net_invest_capital_assets,restricted_net_position,unrestricted_net_position,total_net_position,construction_commitments,authorized_unissued_debt,debt_service_next_fy,total_future_debt_service,notes
Waterloo CSD,2022,329243722,13665005,123712617,93703962,109621979,38257626,-22387457,125492148,17921945,,,, Restricted sum: categorical 1159194+debt svc 19217580+school infra 10560798+PPE 4865414+student act 1276288+mgmt levy 1178352=38257626. Construction: Waterloo Career Center and remodel Central School per Note 14. Authorized-unissued GO debt not disclosed. Debt maturity schedule not extracted (not latest year).
Waterloo CSD,2023,332476963,13219497,159970103,45387807,127451716,27817468,-14930634,140338550,5048507,,,, Restricted sum: categorical 1640929+debt svc 20836045+PPE 3081248+student act 1311612+mgmt levy 947634=27817468 (no school infrastructure line in FY2023). Construction: Waterloo Career Center and remodel Central School per Note 14. Authorized-unissued GO debt not disclosed. Debt maturity schedule not extracted (not latest year).
Waterloo CSD,2024,320281244,20397468,161479340,43344033,139769197,30178970,-34092828,135855339,1493442,,,, Restricted sum: categorical 2322818+debt svc 20870544+school infra 619329+PPE 3060877+student act 1407956+mgmt levy 1897446=30178970. Construction: Waterloo Career Center and remodel Central School per Note 14. Authorized-unissued GO debt not disclosed. Debt maturity schedule not extracted (not latest year).
Waterloo CSD,2025,408370444,15329877,240600231,53252429,139125912,36235020,-45513271,129847661,128313609,,26379223,232859782, Restricted sum: categorical 129750+debt svc 31394498+school infra 1530444+PPE 273882+student act 1437001+mgmt levy 1469445=36235020. Construction: new high school per Note 13. No voter-approved unissued GO bonds disclosed; district has no outstanding traditional GO bonds - all bonded debt is SAVE/revenue bonds subject to constitutional limit ($157M outstanding; $157.7M legal margin remaining per Note 6). Debt svc next FY (2026): revenue bonds P+I net of credit $26278331 + SBITA P+I $100892 = $26379223. Total future debt svc: revenue bonds $232758890 + SBITA $100892 = $232859782 (revenue/SAVE bonds only; no GO bonds). Subsequent event: line of credit increased to $20M on Aug 25 2025.
Waukee CSD,2020,621907804,18099422,375860014,93368887,144777465,48011516,-22010656,170778325,68428614,,,,Govt-activities col; restricted = sum of 7 restricted categories; construction commitments = unpaid balance per Note 12 ($156.4M total contracts less $88.0M incurred); authorized_unissued_debt and debt schedule fields not extracted (latest-year-only fields reported in FY2025 row)
Waukee CSD,2021,726385021,20802576,463537183,93827136,168936885,52474295,-31587902,189823278,67454927,,,,Govt-activities col; restricted = sum of 7 restricted categories; construction commitments = unpaid balance per Note 12 ($221.6M total contracts less $154.2M incurred); authorized_unissued_debt and debt schedule fields not extracted (latest-year-only)
Waukee CSD,2022,789087963,16645503,433153150,150216645,196420843,45195532,-19252704,222363671,38538670,,,,Govt-activities col; restricted = sum of 6 restricted categories (no flexible benefits line in 2022); construction commitments = unpaid balance per Note 12 ($253.7M total contracts less $215.2M incurred); authorized_unissued_debt and debt schedule fields not extracted (latest-year-only)
Waukee CSD,2023,866228628,16136811,511752885,119109129,211726718,51182546,-11405839,251503425,87703205,,,,Govt-activities col; restricted = sum of 6 restricted categories; construction commitments = unpaid balance per Note 12 ($320.8M total contracts less $233.1M incurred); authorized_unissued_debt and debt schedule fields not extracted (latest-year-only)
Waukee CSD,2024,888443023,24969747,492644388,121802088,238428818,59490412,1047064,298966294,80291102,,,,Govt-activities col; restricted = sum of 6 restricted categories; construction commitments = unpaid balance per Note 12 ($361.6M total contracts less $281.4M incurred); authorized_unissued_debt and debt schedule fields not extracted (latest-year-only); unrestricted turned positive for first time
Waukee CSD,2025,950263708,20057224,502950973,132033871,257369484,66277639,11688965,335336088,25847583,,46984481,508466683,Govt-activities col; restricted = sum of 6 restricted categories; construction commitments = unpaid balance per Note 12 ($173.0M total contracts less $147.2M incurred); authorized_unissued_debt = no explicit voter-approved-but-unissued balance stated in audit (referenda totaling $205M Sep-2020 and $180M Nov-2023 approved; cumulative GO bonds issued through FY2025 total approx $384M across all series but audit does not disclose a specific unissued authorized balance); debt_service_next_fy = FY2026 total across all debt types (cap loan notes $5029500 + rev bonds $8831469 + GO bonds $30513076 + equip note $2291267 + IT subscription $319169); total_future_debt_service = sum of all remaining P+I across all debt types (cap loan $5029500 + rev bonds $73795911 + GO bonds $424662376 + equip note $4582534 + IT sub $396362); subsequent event: Board approved $29710000 Series 2025A GO bonds on Aug 11 2025 not included in balance sheet totals
West Des Moines CSD,2020,358445880,13758753,130710265,80999205,176849809,23670070,-40024716,160495163,1354044,,,," Construction commitments: total contracts $7,342,558 of which $5,988,514 incurred; unpaid balance $1,354,044. Authorized_unissued_debt and debt schedule fields are latest-year-only per instructions. Deferred inflows include $67,607,154 succeeding-year property tax."
West Des Moines CSD,2021,418880953,14869720,196887058,75237438,173214274,28696826,-40284923,161626177,897249,,,," Construction commitments: total contracts $5,913,847 of which $5,016,598 incurred; unpaid balance $897,249. Large jump in liabilities due to capital loan notes issued Oct 2020 ($50.225M series 2020A)."
West Des Moines CSD,2022,430773314,9533099,134146546,124849232,169328844,36557678,-24575887,181310635,61282093,,,," Construction commitments: total contracts $88,690,301 of which $27,408,208 incurred (construction-in-progress $28,552,759); unpaid balance $61,282,093. Large deferred inflows include pension-related $45,144,031."
West Des Moines CSD,2023,449320653,9010326,159757968,85892786,223211935,25114052,-35645762,212680225,27000339,,,," Construction commitments: total contracts $112,809,507 of which $85,809,168 incurred; unpaid balance $27,000,339. No statewide sales/services tax restricted line in FY2023 (present in prior years)."
West Des Moines CSD,2024,488595133,14170394,192599632,91509193,198893920,34140653,-14377871,218656702,,,,, No construction commitments disclosed in Note 12 (FY2024); note only addresses litigation claims. Authorized_unissued_debt and debt schedule fields populated for latest year (FY2025) only per instructions.
West Des Moines CSD,2025,480061066,10753527,185396529,90992074,194129682,45817488,-25521180,214425990,,135000000,14655004,135498889,"No construction commitments disclosed in Note 12 (FY2025). Authorized_unissued_debt: $135M GO bond approved by voters Nov 4 2025 (subsequent event per Note 16); bonds not yet issued as of June 30 2025. Debt_service_next_fy (FY2026) = sum of year-1 payments from all maturity schedules: CLN 2020A $6,196,700 + CLN 2023 $1,360,800 + RB-2012 $1,266,605 + RB-2013 $797,895 + RB-2014 $1,854,562 + RB-2023 $2,486,819 + Equipment Lease $123,948 + SBITA $567,675 (two FY2026 rows per schedule). Total_future_debt_service = sum of all scheduled P+I subtotals (excl unamortized premiums/discounts): CLN 2020A $35,362,800 + CLN 2023 $9,999,750 + RB-2012 $6,302,710 + RB-2013 $3,932,541 + RB-2014 $9,306,557 + RB-2023 $69,342,552 + Lease $619,740 + SBITA $632,239 = $135,498,889; includes both GO capital loan notes and SAVE/revenue bonds; excludes unissued $135M bonds."
